,Date,In reality,Link,PolitiFact source,Score,Source,Statement
104,"on Friday, June 8th, 2018",Someone else's words,/punditfact/statements/2018/jun/08/blog-posting/hoax-story-wrongly-credits-mitt-romney-bernie-sand/,— PunditFact,Pants on Fire!,Bloggers,"""Mitt Romney: ‘Trump has some very serious emotional problems, he must resign before we…’"""
105,"on Thursday, June 7th, 2018",We wouldn't say this claim holds water,/punditfact/statements/2018/jun/07/blog-posting/it-illegal-shower-and-do-laundry-same-day-californ/,— PunditFact,False,Bloggers,"""New law (in California) makes it illegal to shower and do laundry on same day"""
106,"on Thursday, June 7th, 2018",Needs additional information,/punditfact/statements/2018/jun/07/blog-posting/fact-checking-claim-about-national-guard-border-ap/,— PunditFact,Mostly True,Bloggers,"""National Guard storms Mexico border, makes game-changing impact in just 30 days"""
107,"on Thursday, June 7th, 2018",History repeating itself?,/punditfact/statements/2018/jun/07/juan-williams/does-north-koreas-negotiating-history-mean-it-cant/,— PunditFact,Half-True,Juan Williams,"North Korea's history of international negotiations shows ""they'll take the concessions, they'll keep them in their pocket and then they won't deliver."""
108,"on Tuesday, June 5th, 2018",That's not what he said,/punditfact/statements/2018/jun/05/blog-posting/what-starbucks-howard-schultz-said-about-same-sex-/,— PunditFact,False,Bloggers,"""Starbucks CEO: ‘If You Support Traditional Marriage We Don’t Want Your Business’"""
109,"on Friday, June 1st, 2018",Fake story,/punditfact/statements/2018/jun/01/blog-posting/website-falsely-claims-fox-announced-plans-pick-ro/,— PunditFact,Pants on Fire!,Bloggers,"""FOX Network Picks Up ‘Roseanne,’ Saying It Has No Problem With Occasional Racism"""
110,"on Thursday, May 24th, 2018","Fake quote, fake attribution",/punditfact/statements/2018/may/24/blog-posting/brad-pitt-donald-trump-not-my-president/,— PunditFact,False,Bloggers,"""Actor Brad Pitt: ‘Trump is not my president, we have no future with this…’"""
111,"on Thursday, May 24th, 2018",Finds patterns where none exist,/punditfact/statements/2018/may/24/blog-posting/fake-news-says-obama-paid-informant-trump-russia-p/,— PunditFact,False,Bloggers,"Says ""Obama paid FBI informant over $1 million to do it to Trump."""
112,"on Thursday, May 24th, 2018",Loose lips,/punditfact/statements/2018/may/24/blog-posting/no-german-submarine-wasnt-just-discovered-great-la/,— PunditFact,Pants on Fire!,Bloggers,"""USA: Mysterious Nazi submarine from WWII discovered in Great Lakes!"""
113,"on Thursday, May 24th, 2018",Forget Paris,/punditfact/statements/2018/may/24/conservative-stories/there-no-evidence-john-kerry-headed-prison/,— PunditFact,Pants on Fire!,Conservative Stories,"""Just in: John Kerry facing prison."""
114,"on Wednesday, May 23rd, 2018",No gift or anger,/punditfact/statements/2018/may/23/blog-posting/melania-didnt-send-hillary-clinton-gift-hospital/,— PunditFact,Pants on Fire!,Bloggers,"""Hillary Clinton furious at ‘special gift’ Melania Trump sent her from her hospital bed"""
115,"on Wednesday, May 23rd, 2018",No evidence,/punditfact/statements/2018/may/23/blog-posting/false-claim-jeff-sessions-caught-collud/,— PunditFact,Pants on Fire!,Bloggers,"""Jeff Sessions Caught Colluding with Obama"""
116,"on Wednesday, May 23rd, 2018",Still on air,/punditfact/statements/2018/may/23/yournewswirecom/no-cnn-isnt-closing-after-ratings-drop/,— PunditFact,False,YourNewsWire.com,"""CNN to permanently close its doors as ratings plunge 30 percent."""
117,"on Monday, May 21st, 2018",Motive unclear,/punditfact/statements/2018/may/21/daily-world-update/no-evidence-santa-fe-killer-expressed-love-obama/,— PunditFact,Pants on Fire!,Daily World Update,"""Breaking: Santa Fe killer expresses his love for Obama."""
118,"on Thursday, May 17th, 2018",Opioid epidemic is real,/punditfact/statements/2018/may/17/true-american/ohio-opioid-crisis-real-headline-misleading/,— PunditFact,False,True American,"""BREAKING: 60 people just found dead in Ohio"""
119,"on Thursday, May 17th, 2018",He will be there,/punditfact/statements/2018/may/17/blog-posting/prince-william-plans-go-royal-wedding-contrary-spe/,— PunditFact,Pants on Fire!,Bloggers,"""Prince William May Not Attend Royal Wedding Leaving Harry Without a Best Man; Princess Diana Would Not Be Happy"""
120,"on Thursday, May 17th, 2018",He never said that,/punditfact/statements/2018/may/17/blog-posting/did-sidney-poitier-say-trump-will-be-goat/,— PunditFact,Pants on Fire!,Bloggers,"""Legendary Actor Sidney Poitier: Donald Trump might become 'The Greatest Of All Time.' """
121,"on Tuesday, May 15th, 2018",Giuliani still on the Trump train,/punditfact/statements/2018/may/15/political-voice/no-rudy-giuliani-didnt-quit-trump-legal-team/,— PunditFact,False,The Political Voice,"""Official: Rudy Giuliani officially resigns, Trump’s legal team on it's last leg."""
122,"on Tuesday, May 15th, 2018",Comma emergency!,/punditfact/statements/2018/may/15/blog-posting/fabricated-headline-says-julia-roberts-told-celine/,— PunditFact,Pants on Fire!,Bloggers,"Says Julia Roberts told Celine Dion, ""If you hate Trump you can go in your country."""
123,"on Monday, May 14th, 2018",She's an unpaid advisor,/punditfact/statements/2018/may/14/breaking-dawn/headline-exaggerates-appointment-undocumented-immi/,— PunditFact,Half-True,The Breaking Dawn,"""It begins: California appoints first illegal alien to state office."""
124,"on Thursday, May 10th, 2018",U.S. government a fan of death penalty,/punditfact/statements/2018/may/10/washingtonsources/no-trump-didnt-vote-death-penalty-gay-people/,— PunditFact,False,WashingtonSources,"""Trump votes for death penalty for being gay."""
125,"on Thursday, May 10th, 2018",Phony claim,/punditfact/statements/2018/may/10/ny-evening-news/no-eric-schneiderman-didnt-sell-child-sex-slaves-c/,— PunditFact,Pants on Fire!,NY Evening News,"""Eric Schneiderman helped NXIVM sell child sex slaves to the Clintons"""
126,"on Thursday, May 10th, 2018",She's 92 and alive,/punditfact/statements/2018/may/10/liberty-raise/no-queen-elizabeth-ii-not-dead/,— PunditFact,Pants on Fire!,The Liberty Raise,"""BREAKING: Queen Elizabeth II Dead At 94"""
127,"on Thursday, May 10th, 2018",Fake news shoots from the hip,/punditfact/statements/2018/may/10/thenewyorkeveningcom/no-pope-francis-didnt-say-gun-owners-cant-call-the/,— PunditFact,Pants on Fire!,TheNewYorkEvening.com,"""Pope Francis: Gun owners ‘can’t call themselves Christian’"""
128,"on Thursday, May 10th, 2018",Some could keep guns,/punditfact/statements/2018/may/10/revolution-radio/california-lawmaker-called-assault-weapons-ban-not/,— PunditFact,False,RevolutionRadio.org,"""Democrats go full tyranny: now demand nationwide gun confiscation from law-abiding Americans ... at gunpoint, of course."""
129,"on Wednesday, May 9th, 2018","Mussolini did drain swamps, literally",/punditfact/statements/2018/may/09/madeleine-albright/madeleine-albright-right-about-mussolini-and-drain/,— PunditFact,Half-True,Madeleine Albright,"Says Benito Mussolini ""initiated a campaign to 'drenare la palude' ('drain the swamp') by firing more than 35,000 civil servants."""
130,"on Tuesday, May 8th, 2018",Click-bait story,/punditfact/statements/2018/may/08/blog-posting/website-falsely-claims-melania-trump-made-shocking/,— PunditFact,Pants on Fire!,Bloggers,"""Melania Just Hit Donald Trump With Shocking Announcement He Never Saw Coming"""
131,"on Monday, May 7th, 2018",Fake bust,/punditfact/statements/2018/may/07/miami-post/no-celebrities-were-not-arrested-trying-assassinat/,— PunditFact,Pants on Fire!,The Miami Post,"""Breaking: 3 liberal celebrities arrested for conspiracy to assassinate President Trump."""
132,"on Monday, May 7th, 2018","$2, not $2 million",/punditfact/statements/2018/may/07/blog-posting/radio-shows-headline-falsely-claims-philadelphia-s/,— PunditFact,False,Bloggers,"""Black men arrested In Philadelphia Starbucks settle for $2 million"""
133,"on Friday, May 4th, 2018",The show goes on,/punditfact/statements/2018/may/04/liberty-raise/no-michelle-wolf-wasnt-fired-after-making-fun-sara/,— PunditFact,Pants on Fire!,The Liberty Raise,"""Breaking: Michelle Wolf fired -- Comedy Central apologizes to Sarah Sanders."""
134,"on Friday, May 4th, 2018",False claims,/punditfact/statements/2018/may/04/blog-posting/fake-news-claims-thousands-killed-nuclear-bomb-syr/,— PunditFact,Pants on Fire!,Bloggers,"""Thousands killed as Israel Drops Tactical Nuclear Bomb On Syria"""
135,"on Friday, May 4th, 2018",No monster truck mishap,/punditfact/statements/2018/may/04/daily-world-update/headline-hillary-clinton-killed-monster-truck-fake/,— PunditFact,Pants on Fire!,Daily World Update,"""Hillary Clinton killed in monster truck mishap."""
136,"on Thursday, May 3rd, 2018",Not Gates' plan,/punditfact/statements/2018/may/03/blog-posting/no-bill-gates-did-not-outline-2018-plan-depopulate/,— PunditFact,Pants on Fire!,Bloggers,"""Bill Gates Outlines 2018 Plan To Depopulate The Planet."""
137,"on Thursday, May 3rd, 2018",Failed in Senate,/punditfact/statements/2018/may/03/patriotnetworkone/headline-says-czech-republic-armed-citizens-shoot-/,— PunditFact,False,Patriotnetwork.one,"""Breaking: Czech Republic arms citizens. You can now shoot terrorists on sight."""
138,"on Wednesday, May 2nd, 2018",No evidence,/punditfact/statements/2018/may/02/yournewswirecom/Website-falsely-claims-Bill-Gates-refused-to-vacci/,— PunditFact,Pants on Fire!,YourNewsWire.com,"""Bill Gates’ Former Doctor Says Billionaire ‘Refused To Vaccinate His Children’"""
139,"on Tuesday, May 1st, 2018",No Clinton connection,/punditfact/statements/2018/may/01/newly-press/smallville-actress-didnt-confess-selling-children-/,— PunditFact,Pants on Fire!,The Newly Press,"""Smallville star confesses she sold children to Rothschilds and Clintons."""
140,"on Tuesday, May 1st, 2018","Legally, Flint's water is clean",/punditfact/statements/2018/may/01/michelle-wolf/michelle-wolf-right-flint-still-doesnt-have-clean-/,— PunditFact,Half-True,Michelle Wolf,"""Flint still doesn’t have clean water."""
141,"on Tuesday, May 1st, 2018",Didn't happen,/punditfact/statements/2018/may/01/daily-world-update/fake-story-says-cnn-fired-journalist-making-fun-tr/,— PunditFact,Pants on Fire!,Daily World Update,"""CNN shocks America, fires ‘journalist’ who made fun of Sarah Sanders’ face"""
142,"on Monday, April 30th, 2018",Scam alert,/punditfact/statements/2018/apr/30/blog-posting/offer-free-tickets-alaska-airlines-scam/,— PunditFact,Pants on Fire!,Bloggers,"""You have been selected to take part in our short survey to get 2 Free Alaska Airlines Tickets!"""
143,"on Wednesday, April 25th, 2018",She's staying put ,/punditfact/statements/2018/apr/25/nrtonline/no-senate-minority-leader-nancy-pelosi-not-resigni/,— PunditFact,Pants on Fire!,Nrt Online,"""BREAKING: Nancy Pelosi to resign after new revelations."""
144,"on Wednesday, April 25th, 2018",Fake news,/punditfact/statements/2018/apr/25/blog-posting/barack-obama-has-security-company-camps-outside-3-/,— PunditFact,Pants on Fire!,Bloggers,"""Obama’s Private ‘security’ Company Sets Up Massive Camps Outside 3 Major Cities."""
145,"on Tuesday, April 24th, 2018",Horse meat in grocery store? Nay,/punditfact/statements/2018/apr/24/newstarget/no-government-has-not-approved-human-consumption-h/,— PunditFact,Mostly False,Newstarget,"""USDA approves slaughterhouses producing horse meat for human consumption"""
146,"on Tuesday, April 24th, 2018",Fake news about actor,/punditfact/statements/2018/apr/24/blog-posting/no-denzel-washington-didnt-praise-trump-averting-w/,— PunditFact,Pants on Fire!,Bloggers,"""Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State"""
147,"on Tuesday, April 24th, 2018",Not a Canadian program,/punditfact/statements/2018/apr/24/blog-posting/website-falsely-claims-applications-accepted-nonex/,— PunditFact,Pants on Fire!,Bloggers,"""Apply Now and Win the Canada Diversity Immigration Visa Lottery (DV-2019) Program | Live and Work in Canada."""
148,"on Monday, April 23rd, 2018",Not a real deal,/punditfact/statements/2018/apr/23/blog-posting/false-claim-circulates-about-allegiant-air-offerin/,— PunditFact,Pants on Fire!,Bloggers,"""Allegiant Air is rewarding everyone with 2 free plane tickets to celebrate April Aviation Week!"""
149,"on Monday, April 23rd, 2018",Fired off doesn't equal fired,/punditfact/statements/2018/apr/23/red-state-wave/no-laura-ingraham-wasnt-fired/,— PunditFact,Pants on Fire!,Red State Wave,"""Laura Ingraham just fired!!!"""
150,"on Monday, April 23rd, 2018",Tutu's office: 'In fact in good health and spirits',/punditfact/statements/2018/apr/23/blog-posting/website-falsely-claims-desmond-tutu-died-texas/,— PunditFact,Pants on Fire!,Bloggers,"""Archbishop Desmond Tutu dies while holidaying in Texas"""
151,"on Friday, April 20th, 2018","Recycled ""satire""",/punditfact/statements/2018/apr/20/blog-posting/no-british-intelligence-didnt-sieze-400-billion-cl/,— PunditFact,Pants on Fire!,Bloggers,"""British Intelligence Seizes Clinton Foundation Warehouse, $400 Million In Cash."""
152,"on Friday, April 20th, 2018",Clinton not to blame for Syria,/punditfact/statements/2018/apr/20/yournewswirecom/hillary-clinton/,— PunditFact,False,YourNewsWire.com,"""Clinton Email: We must destroy Syria for Israel"""
153,"on Friday, April 13th, 2018",No evidence at all,/punditfact/statements/2018/apr/13/blog-posting/did-celine-dion-say-she-hates-country-no/,— PunditFact,Pants on Fire!,Bloggers,"""Singer Celine Dion Says: ‘I Can’t Even Look At An American Flag Any More, I Hate This Country.’"""
154,"on Friday, April 13th, 2018",The Twilight Zone,/punditfact/statements/2018/apr/13/blog-posting/no-evidence-250-million-moon-inhabitants-s-fake-ne/,— PunditFact,Pants on Fire!,Bloggers,"The ""moon has more than 250 million citizens."""
155,"on Friday, April 13th, 2018",Outdated info,/punditfact/statements/2018/apr/13/blog-posting/no-barack-obama-did-not-announce-bid-un-secretary-/,— PunditFact,Pants on Fire!,Bloggers,"""Obama Announces Bid To Become UN Secretary General"""
